rule,action,definition,n_flagged,pct_of_loaded
R1_date_overflow,fail,Timestamp outside the date asserted by the source filename,818397,596.026
R2_exact_duplicate,fail,Byte-identical repeat of an already-loaded observation,996,0.725
R3_null_island,fail,lon=0 and lat=0 sentinel; no position recorded,46,0.034
R4_coord_transpose,warn,"lon/lat transposed; repaired by swap, original retained",110,0.08
R5_outside_state,fail,Position outside Bansara State boundary,67,0.049
R6_impossible_speed,fail,Reported or derived speed physically impossible on foot/road,1306,0.951
R7_low_accuracy,warn,Reported positional accuracy worse than the stratum threshold,6804,4.955
R8_accuracy_missing,warn,accuracy_m null; quality of fix unverifiable,2685,1.955
R9_outside_duty,warn,Fix outside 07:00-19:00 declared duty window,33791,24.609
R10_seq_gap,warn,Preceding fix interval > 120 s (2x nominal 60 s epoch),96,0.07
R11_partial_session,warn,Team-day session < 50% of the fleet-median team-day fix count,4620,3.365
R12_stationary,warn,"Member of a stationary dwell cluster (accuracy-aware radius, >=10 min)",25655,18.684
