team,lga,claims,days_logged,median_fix_per_day,min_fix_day,pct_claims_within_100m,pct_claims_beyond_1km,median_claim_dist_m,logger_ok
T06,Idi-Oro,143,5,990,976,4.2,95.1,48816.0,True
T08,Idi-Oro,152,5,986,974,5.3,92.1,25382.0,True
T02,Idi-Oro,131,5,984,974,6.9,88.5,42818.0,True
T01,Idi-Oro,150,5,988,965,8.7,84.7,15211.0,True
T03,Idi-Oro,132,5,982,975,9.1,87.1,11576.0,True
T04,Gwarin,67,5,983,970,10.4,86.6,11716.0,True
T05,Gwarin,64,5,986,976,10.9,78.1,10886.0,True
T07,Idi-Oro,142,5,995,972,12.7,78.9,5563.0,True
T15,Idi-Oro,106,5,974,947,27.4,49.1,980.0,True
T14,Idi-Oro,76,5,972,11,32.9,63.2,2034.0,True
T29,Ilela,75,5,971,955,48.0,32.0,164.0,True
T20,Idi-Oro,76,5,995,950,50.0,31.6,88.0,True
T19,Ilela,49,5,982,966,57.1,14.3,4.0,True
T28,Ilela,49,5,982,972,61.2,28.6,4.0,True
T30,Ilela,55,5,972,954,61.8,25.5,3.0,True
T11,Gwarin,50,5,975,966,70.0,16.0,3.0,True
T26,Katsuma,38,5,974,505,73.7,23.7,3.0,True
T18,Gwarin,46,5,889,570,82.6,8.7,2.0,True
T32,Ilela,49,5,975,949,85.7,12.2,2.0,True
T31,Katsuma,27,5,786,364,88.9,11.1,2.0,True
T10,Gwarin,42,5,977,604,90.5,9.5,2.0,True
T17,Katsuma,31,5,514,232,93.5,0.0,2.0,True
T23,Katsuma,31,5,952,254,93.5,6.5,3.0,True
T09,Gwarin,32,5,691,472,93.8,3.1,2.0,True
T21,Gwarin,32,5,876,431,93.8,6.2,2.0,True
T22,Katsuma,18,5,574,368,94.4,5.6,2.0,True
T27,Katsuma,30,5,629,428,96.7,0.0,2.0,True
T16,Gwarin,39,5,868,652,97.4,2.6,2.0,True
T13,Gwarin,28,5,758,541,100.0,0.0,2.0,True
T12,Gwarin,25,5,724,302,100.0,0.0,2.0,True
T24,Ilela,31,5,780,451,100.0,0.0,2.0,True
